Name,Artist,Album,Year,Length
The Killchain,Bolt Thrower,Those Once Loyal,2005,4.41
You Only Live Once,Suicide Silence,The Black Crown,2011,3.13
Pull the Plug,Death,Leprosy,1988,4.27
Leprosy,Death,Leprosy,1988,6.20
Tyende Sang,Afsky,Ofte Jeg Drømmer Mig Død,2020,8.39
Det Sidste Lys,Solbrud,Vemod,2017,12.56
Bfg Division,Mick Gordon,Doom (Original Game Soundtrack),2016,8.27
Rip & Tear,Mick Gordon,Doom (Original Game Soundtrack),2016,4.18
Sonne,Rammstein,Mutter,2001,4.32
Mein Herz brennt,Rammstein,Mutter,2001,4.40
Engel,Rammstein,Sehnsucht,1997,4.25
Du hast,Rammstein,Sehnsucht,1997,3.56
Deutschland,Rammstein,Rammstein,2019,5.23
Radio,Rammstein,Rammstein,2019,4.37
Zeig dich,Rammstein,Rammstein,2019,4.16
Ausländer,Rammstein,Rammstein,2019,3.52
